Price,Close,High,Low,Open,Volume,MA_7,MA_30,Daily_Change
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,
Date,,,,,,,,
2022-01-03,178.27032470703125,179.12245940789794,174.05868664745196,174.17621628400974,104487900,,,
2022-01-04,176.00778198242188,179.18121654083714,175.43969718796814,178.87758836256972,99310400,,,-1.2691639667609445
2022-01-05,171.32601928710938,176.46815060812955,171.0517734789437,175.91965899179817,94537600,,,-2.6599748275789703
2022-01-06,168.46595764160156,171.69815632959336,168.1133538766339,169.15157192201912,96904000,,,-1.6693679438818387
2022-01-07,168.63250732421875,170.56203191509988,167.51593093187975,169.33771503993543,86709100,,,0.09886251498447685
2022-01-10,168.652099609375,168.95572780142643,164.7146923768041,165.60599864366586,106765600,,,0.011618332353080518
2022-01-11,171.48272705078125,171.58066343731596,167.3102603634751,168.77944066896987,76138300,171.83391680036272,,1.6783825685908527
2022-01-12,171.9234619140625,173.53955411934612,171.22805833783443,172.50133585944042,74805200,170.9272221156529,,0.25701414414218693
2022-01-13,168.652099609375,172.9910714162829,168.26030924441002,172.16833406776786,84505800,169.87641034807478,,-1.9028015538232523
2022-01-14,169.5139923095703,170.20939579349408,167.57466398631828,167.81952731493655,80440800,169.6175493512835,,0.5110477143134284
2022-01-18,166.31118774414062,168.99488045377709,165.92920152184269,167.98604466295757,90956700,169.30972508021765,,-1.8894042443296621
2022-01-19,162.81451416015625,167.56486853489844,162.5304792855551,166.50705720159695,94815000,168.47858319963728,,-2.1024884924541465
2022-01-20,161.12989807128906,166.19367112950465,160.8066766064742,163.54914953452655,91420500,167.40398297991072,,-1.034684221831772
2022-01-21,159.07302856445312,162.9124840575923,158.96528809380473,161.0417244969125,122848900,165.63116891043526,,-1.2765287705487904
2022-01-24,158.2992401123047,158.9652761385697,151.521424960607,156.7321237742352,162294600,163.68485151018416,,-0.4864359842340682
2022-01-25,156.4970703125,159.41583739515477,153.79378418345803,155.71350456711474,115798400,161.94841875348772,,-1.1384576442225125
2022-01-26,156.40890502929688,161.01233270214277,154.57733208034693,160.14061983418955,108275300,160.07626342773438,,-0.05633669884494985
2022-01-27,155.94859313964844,160.4736636918006,155.02790442490624,159.112223875077,121954600,158.59589276994978,,-0.29430030826071985
2022-01-28,166.83029174804688,166.8498849998228,159.45500918063075,162.30522203050273,179935700,159.16957528250558,,6.977747211001839
2022-01-31,171.18885803222656,171.4043389682656,166.02713461119168,166.6637882659515,115541600,160.60656956263952,,2.612574873849738
2022-02-01,171.02239990234375,171.24767005384436,168.76965355150836,170.43472174289926,86213900,162.3136226109096,,-0.09723654436171181
2022-02-02,172.2270965576172,172.266283066221,169.7686736999572,171.15949584991125,84914300,164.3033163888114,,0.704408694978742
2022-02-03,169.3474884033203,172.618874147118,168.58351594007854,170.89502658265624,89418100,166.13909040178572,,-1.6719832197447104
2022-02-04,169.06309509277344,170.74010088602927,167.3860892995176,168.3667905913057,82465400,167.94683183942522,,-0.16793476728131917
2022-02-07,168.34719848632812,170.59299800892276,167.65089393875687,169.52403712153145,77251200,169.71806117466517,,-0.4234493672628292
2022-02-08,171.45602416992188,171.96599307785382,168.12163049721661,168.4158439042664,74829200,170.3788800920759,,1.8466750332327253
2022-02-09,172.87803649902344,173.2408912177467,171.524663818335,172.65247937368048,71285000,170.6201913016183,,0.8293743751413896
2022-02-10,168.79827880859375,172.0934353035554,168.23928692904147,170.7792993410732,90865900,170.30245971679688,,-2.3599051522387726
2022-02-11,165.3854522705078,169.73976805864703,164.7970255558841,169.00424214752385,98670700,169.32508196149553,,-2.0218372854120537
2022-02-14,165.62086486816406,166.30735288699964,163.345630332233,164.13999610862248,86185500,168.79270717075892,167.3858164469401,0.14234178062482172
2022-02-15,169.4553985595703,169.61231438448638,166.96442343737377,167.67052968517936,62527400,168.8487505231585,167.09198557535808,2.315247957712674
2022-02-16,169.2200164794922,169.99476394129306,166.7682631690513,168.53352854543166,61177400,168.9734388078962,166.86572672526043,-0.1389050346456644
2022-02-17,165.62086486816406,168.59238905022963,165.21877368416162,167.72936698979834,69589300,168.1398446219308,166.67555491129556,-2.1269065481767657
2022-02-18,164.0713348388672,167.24879755806595,162.98275576839345,166.54270637048876,82772700,166.88174438476562,166.52906748453776,-0.9355886593940377
2022-02-22,161.1488494873047,163.4731068473456,159.02071443579257,161.79610099125685,91162800,165.7889687674386,166.27961222330728,-1.7812284848128024
2022-02-23,156.9808807373047,162.94353209804362,156.66704910552062,162.3453036437316,90009200,164.58831569126673,165.89057159423828,-2.5864092503672165
2022-02-24,159.5993194580078,159.70719718910948,149.06658313119078,149.6353916256984,141147500,163.72809491838728,165.4944580078125,1.6679984902651102
2022-02-25,161.6686553955078,161.93343403788458,157.76545247894273,160.67813725963106,91974200,162.61570303780692,165.1526311238607,1.2965819306293813
2022-02-28,161.93341064453125,162.22762405787608,159.29532147992174,159.9131681515143,95056600,161.57475934709822,164.92867482503254,0.16376411888607834
2022-03-01,160.0504608154297,163.38485445669167,158.84420231864755,161.5215128724912,83474400,160.77898733956474,164.61322377522785,-1.1627926699048663
2022-03-02,163.34561157226562,164.13017563125035,159.80527916281847,161.21749147612806,79724800,160.67531258719308,164.51437123616537,2.058819912200005
2022-03-03,163.02198791503906,165.6502754224143,162.35511815252505,165.21876441640376,76678400,160.94290379115515,164.5212870279948,-0.19812203958928798
2022-03-04,160.0210418701172,162.35511593567728,158.97169917829748,161.31557487047283,83737200,161.37721252441406,164.48432515462238,-1.840822875062631
2022-03-07,156.22573852539062,161.83535182075346,155.97074658012755,160.2073838791356,96418800,160.89527239118303,164.38941548665363,-2.3717526772554454
2022-03-08,154.40159606933594,159.73661287922712,152.79324673379338,155.754968485403,131148300,159.85712105887276,164.25949401855468,-1.1676324741830002
2022-03-09,159.8052978515625,160.25642710163922,156.33362131227005,158.363665526824,91454900,159.5531049455915,164.36976826985676,3.4997706758160385
2022-03-10,155.4607696533203,157.29467624132576,152.96978004521466,157.10834060556428,105342000,158.8974347795759,164.33816375732422,-2.7186384035137956
2022-03-11,151.743896484375,156.20609005481433,151.51833939243923,155.8628386400447,96970100,157.24004690987724,164.19800720214843,-2.3908753167979246
2022-03-14,147.71319580078125,151.14564967186587,147.20324199995284,148.52717951449867,108732100,155.0530766078404,163.5607706705729,-2.6562522625144247
2022-03-15,152.0969696044922,152.56771702935066,147.4778746009712,147.98782853142856,92964300,153.9210662841797,162.92437438964845,2.967760449529022
2022-03-16,156.5100860595703,156.91217710483616,151.4790995568782,154.019111832328,102300200,153.96168736049108,162.4406305948893,2.9015150443521875
2022-03-17,157.52020263671875,157.89287383559343,154.5879159855024,155.54899885362505,75615400,154.4072025844029,161.95040079752604,0.6454003077884574
2022-03-18,160.81539916992188,161.30574983268542,156.67683837905244,157.41236437319773,123511700,154.55150277273995,161.66599782307944,2.091919942994669
2022-03-21,162.1884002685547,163.13968181166422,159.8641278042269,160.35447849802293,95811400,155.51259286063058,161.4368413289388,0.8537746420553161
2022-03-22,165.56198120117188,166.15039293346567,161.72743597716038,162.31584770945418,81532000,157.48660496303015,161.34400075276693,2.0800383547967316
2022-03-23,166.9251708984375,169.30826781804822,164.41456305995604,164.74801286692667,98062700,160.2311728341239,161.1929723103841,0.8233712156471729
2022-03-24,170.71067810058594,170.77931940838405,166.9251705809909,167.75875768604743,90131400,162.89027404785156,161.1207270304362,2.2677869261860106
2022-03-25,171.34815979003906,171.89735021175125,169.4161767223122,170.52437415747076,80546200,165.00999886648995,161.20572306315105,0.37342812795664315
2022-03-28,172.21116638183594,172.33864738407132,168.68063546771577,168.84735290472764,90371900,167.10870797293526,161.433246866862,0.5036567610964493
2022-03-29,175.50631713867188,175.55534023387025,172.93686947046768,173.28012092274494,100589400,169.20741053989954,161.76276194254558,1.9134361761012242
2022-03-30,174.3392791748047,176.14376602591867,173.289921571538,175.1042250130881,92633200,170.94325038364954,161.9255579630534,-0.6649549616753014
2022-03-31,171.24026489257812,174.59426174462104,171.03431102289065,174.40792609212167,103049300,171.75443376813615,161.9928995768229,-1.7775766292570716
2022-04-01,170.94606018066406,171.5050671665747,168.62180263029362,170.67146498333403,78751300,172.32884652273995,162.17040608723957,-0.17180813875674605
2022-04-04,174.996337890625,175.04537594723365,171.07353279095375,171.2010287452735,76468400,172.94108363560267,162.53457285563152,2.3693308320065443
2022-04-05,171.68157958984375,174.85905741860927,171.0539313110609,174.07449332905188,73401800,172.98871503557478,162.8856638590495,-1.8941872388512637
2022-04-06,168.51388549804688,170.27915061431153,166.84669648547398,169.03365592612585,89058800,172.46053205217635,163.2700973510742,-1.845098407974033
2022-04-07,168.8179473876953,170.01440435655695,166.57214764639596,167.85686415452201,77594700,171.5050506591797,163.57738494873047,0.1804372908201346
2022-04-08,166.80751037597656,168.4648982638585,165.93468666135624,168.4648982638585,76575500,170.42908368791853,163.7486801147461,-1.1908905675186987
2022-04-11,162.5512237548828,165.76792249086608,162.3060484551017,165.45410588858888,72246700,169.1877920968192,163.76927388509114,-2.5516156985379568
2022-04-12,164.4243927001953,166.59173431379904,163.42407312851623,164.77744578641645,79265200,168.2561253138951,163.91507161458333,1.1523561016908213
2022-04-13,167.11148071289062,167.73912889065093,163.55154548536066,164.15957544885293,70618900,167.12971714564733,164.0406005859375,1.634239280782901
2022-04-14,162.10011291503906,167.96471752203973,161.85493758758528,167.32725269207126,75329400,165.7609361921038,164.00987141927084,-2.998817182681446
2022-04-18,161.88436889648438,163.38484067093813,160.41331696354428,160.75655343597518,69023900,164.81386239188058,164.07198232014974,-0.13309307111202262
